x,y,z,r,g,b,nx,ny,nz
496956.250000,5421605.500000,302.410004,0.8,0.8,0.8,0.229053,-0.114221,0.966689
496699.593750,5421699.500000,298.980011,0.8,0.8,0.8,-0.237731,0.710873,0.661924
497175.156250,5422329.000000,287.369995,0.8,0.8,0.8,-0.049129,0.016194,0.998661
496738.437500,5422256.000000,293.640015,0.8,0.8,0.8,0.017945,-0.023731,0.999557
496684.000000,5421987.000000,296.510010,0.8,0.8,0.8,0.050998,0.048332,0.997529
496748.562500,5422028.500000,290.630005,0.8,0.8,0.8,0.064062,0.101157,0.992806
496267.500000,5421680.500000,303.970001,0.8,0.8,0.8,0.006296,-0.056077,0.998407
496900.250000,5421446.500000,313.660004,0.8,0.8,0.8,0.166334,0.769683,0.616377
496920.625000,5422077.000000,282.260010,0.8,0.8,0.8,0.022091,-0.068022,0.997439
496213.125000,5421397.500000,290.649994,0.8,0.8,0.8,0.049117,-0.051561,0.997461
496705.718750,5421993.000000,295.559998,0.8,0.8,0.8,0.050317,0.044011,0.997763
496446.500000,5421943.000000,303.070007,0.8,0.8,0.8,0.045952,0.027352,0.998569
496006.625000,5421665.000000,309.170013,0.8,0.8,0.8,0.027007,-0.014435,0.999531
496487.625000,5421748.500000,294.799988,0.8,0.8,0.8,0.095586,-0.053296,0.993993
496182.187500,5422019.000000,307.450012,0.8,0.8,0.8,0.025160,0.084203,0.996131
496671.343750,5421635.500000,292.130005,0.8,0.8,0.8,-0.488772,0.734872,-0.470175
497082.281250,5422005.500000,276.910004,0.8,0.8,0.8,-0.043813,-0.006641,0.999018
496239.906250,5421538.000000,296.950012,0.8,0.8,0.8,0.089186,-0.025788,0.995681
496631.781250,5422005.500000,297.850006,0.8,0.8,0.8,0.472408,0.229979,0.850847
496368.218750,5421735.000000,302.290009,0.8,0.8,0.8,0.049855,-0.024286,0.998461
496825.687500,5422078.500000,287.880005,0.8,0.8,0.8,0.352839,0.050351,0.934328
496529.781250,5421550.000000,291.200012,0.8,0.8,0.8,0.034805,0.025945,0.999057
496445.531250,5421519.000000,292.119995,0.8,0.8,0.8,0.024180,-0.081526,0.996378
496751.718750,5421698.000000,289.559998,0.8,0.8,0.8,-0.396200,-0.370310,0.840176
496994.281250,5422173.500000,287.339996,0.8,0.8,0.8,0.004500,-0.004958,0.999978
496816.156250,5422254.500000,292.390015,0.8,0.8,0.8,0.020382,-0.029561,0.999355
496220.062500,5421754.000000,308.779999,0.8,0.8,0.8,0.019888,-0.072907,0.997141
496358.750000,5421587.000000,297.579987,0.8,0.8,0.8,0.017271,-0.036737,0.999176
496708.093750,5422266.500000,294.320007,0.8,0.8,0.8,0.001407,-0.021142,0.999776
496679.625000,5422261.000000,294.480011,0.8,0.8,0.8,0.026768,-0.026492,0.999291
496844.625000,5422149.500000,287.980011,0.8,0.8,0.8,0.031660,-0.036205,0.998843
496255.843750,5422020.000000,306.059998,0.8,0.8,0.8,0.023397,0.084109,0.996182
496591.375000,5422124.000000,291.950012,0.8,0.8,0.8,0.036005,0.047313,0.998231
496791.937500,5421631.000000,287.290009,0.8,0.8,0.8,0.141088,0.271333,0.952088
495971.250000,5422290.000000,303.760010,0.8,0.8,0.8,-0.209503,0.203356,0.956428
496290.406250,5421496.000000,292.829987,0.8,0.8,0.8,0.054514,-0.039990,0.997712
496073.625000,5421520.500000,300.579987,0.8,0.8,0.8,0.021688,-0.060270,0.997947
496812.562500,5421607.500000,282.660004,0.8,0.8,0.8,-0.515994,0.411862,0.751080
497199.000000,5422277.000000,286.829987,0.8,0.8,0.8,0.023664,-0.004877,0.999708
496928.937500,5422306.000000,292.160004,0.8,0.8,0.8,-0.009360,-0.082355,0.996559
496909.843750,5421590.000000,293.519989,0.8,0.8,0.8,-0.075683,-0.017064,0.996986
496686.312500,5421959.000000,298.350006,0.8,0.8,0.8,0.237905,0.551364,0.799624
496740.343750,5421711.000000,290.480011,0.8,0.8,0.8,-0.418655,0.206912,0.884260
